Statement,Median,IQR_Range
1,4,4
2,5,2.5
3,9,4
4,11,1
5,10,2.5
6,3,2.5
7,10,3.5
8,1,1
9,3,1.5
10,10,4.5
11,4,2.5
12,1,1
13,4,3
14,5,2
15,4,2
16,2,2.5
17,5.5,4
18,1,0
19,3,3
20,3,3.5
21,3,2.5
22,3,3
23,1,1.5
24,2,2
25,1,0
26,4,4
27,2,4
28,3,3.5
29,9,5.5
30,4,3.5
31,3,3.5
32,3,2.5
33,3,4
34,1,1
35,8,3.75
36,2,1.5
37,3,3
38,9,5
39,1,1
40,5,3.5
41,3,3
42,2,2.5
43,2,1.5
44,2,2
45,2,3
46,10,3
47,4,4
48,3,4
49,6,4.75
50,8,5.5
51,1,0
53,11,1.5
54,1,1
55,9,4
56,1,1
57,1,1
